sample-id;BasisOfRecord;eventDate;occurrenceStatus;eventID;recordedBy;materialSampleID;decimalLatitude;decimalLongitude;associatedSequences;IdentificationRemarks;IdentificationReferences;samplingProtocol;minimumDepthInMeters;maximumDepthInMeters;Country
ERR3460466;MaterialSample;2018-09-28/2018-01-28;present;;Katrina Exter;ARMS_Crete_1HERP_180928-190128_SF40_DMSO;25.136605;35.343153;ERR3460466;https://github.com/iobis/tagseq-qiime2-snakemake/reports/report_ARMS_run1.pdf;https://github.com/iobis/tagseq-qiime2-snakemake;http://www.assembleplus.eu/research/ARMS-MBON;5;5;Greece
ERR3460467;MaterialSample;2018-09-28/2018-01-28;present;;Katrina Exter;ARMS_Crete_1HERP_180928-190128_SF40_EtOH;25.136605;35.343153;ERR3460467;https://github.com/iobis/tagseq-qiime2-snakemake/reports/report_ARMS_run1.pdf;https://github.com/iobis/tagseq-qiime2-snakemake;http://www.assembleplus.eu/research/ARMS-MBON;5;5;Greece
ERR3460468;MaterialSample;2018-09-28/2018-01-28;present;;Katrina Exter;ARMS_Crete_1HERP_180928-190128_MF500_DMSO;25.136605;35.343153;ERR3460468;https://github.com/iobis/tagseq-qiime2-snakemake/reports/report_ARMS_run1.pdf;https://github.com/iobis/tagseq-qiime2-snakemake;http://www.assembleplus.eu/research/ARMS-MBON;5;5;Greece
ERR3460469;MaterialSample;2018-09-28/2018-01-28;present;;Katrina Exter;ARMS_Crete_1HERP_180928-190128_MF500_EtOH;25.136605;35.343153;ERR3460469;https://github.com/iobis/tagseq-qiime2-snakemake/reports/report_ARMS_run1.pdf;https://github.com/iobis/tagseq-qiime2-snakemake;http://www.assembleplus.eu/research/ARMS-MBON;5;5;Greece
ERR3460470;MaterialSample;2018-09-28/2018-01-28;present;;Katrina Exter;ARMS_Crete_1HERP_180928-190128_SED_Frozen;25.136605;35.343153;ERR3460470;https://github.com/iobis/tagseq-qiime2-snakemake/reports/report_ARMS_run1.pdf;https://github.com/iobis/tagseq-qiime2-snakemake;http://www.assembleplus.eu/research/ARMS-MBON;5;5;Greece
ERR3460471;MaterialSample;2018-09-28/2018-01-28;absent;;Katrina Exter;;;;ERR3460471;https://github.com/iobis/tagseq-qiime2-snakemake/reports/report_ARMS_run1.pdf;https://github.com/iobis/tagseq-qiime2-snakemake;http://www.assembleplus.eu/research/ARMS-MBON;;;
